Catalogue_Num,Pit,Bin,Level_min,Level_max,Drawer,Higher_Classification,Family,Genus,Element,NISP,Details,Notes,Quadrant,GMM?,TeethCorrosion
41229-25948,1D/E,15,220,225,2.00E+07,lizard,,,femur,10,10R,,100,,
41229-29125,1D/E,15,210,215,2.00E+05,lizard,,,scapulocorocoid,11,11R,,75,,
41229-29072,1D/E,15,210,215,2.00E+04,lizard,,,humerus,13,13L,,100,,
41229-29061,1D/E,15,210,215,2.00E+04,lizard,,,femur,14,14R,,100,,
41229-20,1,1,0,15,2A1,lizard,Phrynosomatidae,,dentary,1,1L,",frag. 18 tooth positions, posterior teeth tricuspid",75,No,
41229-26774,1,1,0,5,2A1,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, with splenial",25,No,
41229-26775,1,1,0,5,2A1,lizard,Phrynosomatidae,,dentary,1,1L,ant. frag,25,No,
41229-26777,1,1,0,5,2A1,lizard,Phrynosomatidae,,dentary,1,1L,"trcuspid, missing ventral border",25,No,
41229-26778,1,1,0,5,2A1,lizard,Teiidae,,dentary,1,1L,"tricuspid posterior, ventral meckel groove, very deteriorated",75,No,shaft
41229-26789,1E,1,0,5,2A1,lizard,,,humerus,1,1L,,100,,
41229-26793,1A,1,5,10,2A2,lizard,Phrynosomatidae,,dentary,1,1L,eroded teeth,75,No,crown
41229-26795,1D,1,5,10,2A2,lizard,Phrynosomatidae,,dentary,1,1L,ant. frag,25,No,
41229-26796,1D,1,5,10,2A2,lizard,Phrynosomatidae,,dentary,1,1L,tricuspid,25,No,
41229-26800,1E,1,5,10,2A2,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, open meckels canal",75,No,
41229-26801,1E,1,5,10,2A2,lizard,,,pelvis,1,1L,,75,,
41229-26802,1E,1,5,10,2A2,lizard,Anguidae,Gerrhonotus,braincase,1,1L,prootic,100,,
41229-26813,1D,1,10,15,2A3,lizard,Phrynosomatidae,,maxilla,1,1L,ant. frag,25,No,
41229-26818,1E,1,10,15,2A3,lizard,Phrynosomatidae,cf. Sceloporus,maxilla,1,1L,tricuspid,50,No,
41229-26815,1D,1,10,15,2A3,lizard,,,pterygoid,1,1L,,50,,
41229-26810,1D,1,10,15,2A3,lizard,,,scapulocorocoid,1,1L,,50,,
41229-26816,1E,1,10,15,2A3,lizard,,,scapulocorocoid,1,1L,,100,,
41229-26824,1,2,15,20,2A4,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, burned, eroded teeth",50,No,crown
41229-26823,1,2,15,20,2A4,lizard,Teiidae,,dentary,1,1L,bicuspid,75,No,
41229-6875,1,2,15,20,2A5,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,1L,2 long horns,75,,
41229-26825,1,2,15,20,2A4,lizard,Phrynosomatidae,,surangular,1,1L,,75,,
41229-26836,1C,2,20,25,2A5,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, open meckels canal",75,No,
41229-26843,1E,2,20,25,2A5,lizard,,,femur,1,1L,,100,,
41229-26838,1C,2,20,25,2A5,lizard,,,humerus,1,1L,,100,,
41229-26835,1B,2,20,25,2A5,lizard,Phrynosomatidae,,maxilla,1,1L,"eroded teeth, straight ant and post processes",100,Maybe,crown
41229-26839,1C,2,20,25,2A5,lizard,Phrynosomatidae,,maxilla,1,1L,,75,No,
41229-8995,1A,2,20,25,2A5,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,1L,"1 long horn, 1 broken",75,,
41229-26851,1,2,25,30,2A7,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded teeth",75,,crown
41229-26860,1C,2,25,30,2A7,lizard,Phrynosomatidae,,dentary,1,1L,"eroded teeth, sub mk lip up",50,,crown
41229-26861,1C,2,25,30,2A7,lizard,Scincidae,,dentary,1,1L,"eroded teeth shaft and crown, large and deep dental shelf",25,,shaft
41229-26871,1C,2,25,30,2A7,lizard,Phrynosomatidae,Phrynosoma,maxilla,1,1L,,25,,
41229-26872,1C,2,25,30,2A7,lizard,Phrynosomatidae,,maxilla,1,1L,"missing facial process, slightly eroded teeth, tricuspid",100,,crown
41229-26847,1C,2,25,30,2A6,lizard,Teiidae,,maxilla,1,1L,only 1 tooth preserved,75,,
41229-26853,1,2,25,30,2A7,lizard,,,maxilla,1,1L,bone eroded not unicuspid teeth,50,,shaft
41229-26848,1C,2,25,30,2A6,lizard,,,pelvis,1,1L,,75,,
41229-26874,1C,2,25,30,2A7,lizard,,,pelvis,1,1L,,75,,
41229-26849,1C,2,25,30,2A6,lizard,,,scapulocorocoid,1,1L,,75,,
41229-26885,1A,3,30,35,2A8,lizard,Phrynosomatidae,Phrynosoma,coronoid,1,1L,,100,,
41229-26886,1A,3,30,35,2A8,lizard,Phrynosomatidae,,coronoid,1,1L,,100,,
41229-26887,1A,3,30,35,2A8,lizard,Phrynosomatidae,,coronoid,1,1L,,100,,
41229-26888,1A,3,30,35,2A8,lizard,Phrynosomatidae,,coronoid,1,1L,,100,,
41229-26890,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"eroded tooth crowns, closed mk",25,No,crown
41229-26891,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"eroded teeth, open mk, slender",75,No,crown
41229-26896,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"weak tricuspid, sub mk lip up",50,,
41229-26897,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"weak tricuspid, closed mk",75,,
41229-26898,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"weak tricuspid, closed mk",50,,
41229-26899,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"weak tricuspid, closed mk, eroded crowns and shafts",50,,shaft
41229-26900,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"weak tricuspid, closed mk",25,,
41229-26901,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"weak tricuspid, closed mk",50,,
41229-26902,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"weak tricuspid,eroded teeth and bone",25,,shaft
41229-26905,1A,3,30,35,2A8,lizard,Phrynosomatidae,,dentary,1,1L,"unicuspid ant frag, open mk",25,,
41229-26903,1A,3,30,35,2A8,lizard,Pleurodonta,,dentary,1,1L,"weak tricuspid, eroded crowns, missing ventral portion",50,,crown
41229-26904,1A,3,30,35,2A8,lizard,Pleurodonta,,dentary,1,1L,"missing crowns, missing most teeth",50,,crown
41229-26882,1,3,30,35,2A8,lizard,,,dentary,1,1L,"unicuspid ant frag, wide based teeth",25,No,
41229-26928,1A,3,30,35,2A8,lizard,,,humerus,1,1L,,25,,
41229-26932,1A,3,30,35,2A8,lizard,,,humerus,1,1L,,100,,
41229-26935,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,weak tricuspid,25,,
41229-26936,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,weak tricuspid,25,,
41229-26937,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,"weak tricuspid, bone eroded",25,,shaft
41229-26938,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,"weak tricuspid, bone eroded",25,,shaft
41229-26939,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,facial process merges with pxp,25,,
41229-26940,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,facial process merges with pxp,25,,
41229-26948,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,"facial process merges with pxp, slightly eroded tooth crowns",100,Yes,crown
41229-26949,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,"facial process merges with pxp, slightly eroded tooth crowns",100,Yes,crown
41229-26950,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,"eroded bone, facial process merges with pxp",100,,shaft
41229-26951,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,75,,
41229-26952,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,facial process merges with pxp,50,,
41229-26953,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,facial process merges with pxp,50,,
41229-26954,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,"facial process merges with pxp, slightly eroded tooth crowns",25,,crown
41229-26956,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,50,,
41229-26957,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,50,,
41229-26958,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,25,,
41229-26959,1A,3,30,35,2A8,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,25,,
41229-26946,1A,3,30,35,2A8,lizard,Teiidae,,maxilla,1,1L,weak bicuspid,75,,
41229-26955,1A,3,30,35,2A8,lizard,,,maxilla,1,1L,eroded tooth crowns,25,,
41229-26972,1A,3,30,35,2A8,lizard,,,pelvis,1,1L,,50,,
41229-26980,1A,3,30,35,2A8,lizard,Phrynosomatidae,,pterygoid,1,1L,,100,,
41229-26979,1A,3,30,35,2A8,lizard,Teiidae,,pterygoid,1,1L,,50,,
41229-26983,1A,3,30,35,2A8,lizard,Phrynosomatidae,,quadrate,1,1L,,100,,
41229-26984,1A,3,30,35,2A8,lizard,Phrynosomatidae,,quadrate,1,1L,,100,,
41229-26982,1A,3,30,35,2A8,lizard,Teiidae,,quadrate,1,1L,,100,,
41229-26985,1A,3,30,35,2A8,lizard,,,scapulocorocoid,1,1L,,75,,
41229-26986,1A,3,30,35,2A8,lizard,,,scapulocorocoid,1,1L,,75,,
41229-26987,1A,3,30,35,2A8,lizard,,,scapulocorocoid,1,1L,,50,,
41229-26992,1A,3,30,35,2A8,lizard,Anguidae,Ophisaurus,surangular_articular,1,1L,,100,,
41229-10024,1,3,30,35,2A8,lizard,Phrynosomatidae,Phrynosoma,surangular_articular,1,1L,,75,,
41229-26995,1A,3,30,35,2A8,lizard,Phrynosomatidae,,surangular_articular,1,1L,,25,,
41229-27006,1,3,35,40,2A9,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, closed mk",50,,
41229-27007,1,3,35,40,2A9,lizard,Phrynosomatidae,,dentary,1,1L,"teeth shaft and crown eroded, open mk",75,,shaft
41229-27016,1A,3,35,40,2A9,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slender teeth",25,,
41229-27017,1A,3,35,40,2A9,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slender teeth, eroded bone",0,,shaft
41229-27018,1A,3,35,40,2A9,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",25,,crown
41229-27020,1A,3,35,40,2A9,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, open mk",25,,
41229-27019,1A,3,35,40,2A9,lizard,,,dentary,1,1L,"broken ventral border, slightly eroded crowns",25,,crown
41229-27032,1A,3,35,40,2A9,lizard,,,femur,1,1L,,100,,
41229-27040,1A,3,35,40,2A9,lizard,Phrynosomatidae,,maxilla,1,1L,slightly eroded tooth crowns,50,,crown
41229-27042,1A,3,35,40,2A9,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,100,,
41229-27044,1A,3,35,40,2A9,lizard,Phrynosomatidae,,maxilla,1,1L,weak tricuspid,100,,
41229-27043,1A,3,35,40,2A9,lizard,Scincidae,cf. Plestiodon,maxilla,1,1L,,50,,
41229-27045,1A,3,35,40,2A9,lizard,,,maxilla,1,1L,eroded tooth crowns,25,,crown
41229-27056,1A,3,35,40,2A9,lizard,,,pelvis,1,1L,,100,,
41229-27011,1,3,35,40,2A9,lizard,Phrynosomatidae,,pterygoid,1,1L,,100,,
41229-27058,1A,3,35,40,2A9,lizard,Phrynosomatidae,,quadrate,1,1L,,100,,
41229-27060,1A,3,35,40,2A9,lizard,,,scapulocorocoid,1,1L,,100,,
41229-27061,1A,3,35,40,2A9,lizard,,,scapulocorocoid,1,1L,,50,,
41229-27062,1A,3,35,40,2A9,lizard,,,scapulocorocoid,1,1L,,50,,
41229-27068,1A,3,35,40,2A9,lizard,Phrynosomatidae,,surangular,1,1L,,75,,
41229-27085,1A,3,40,45,2A10,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",75,No,crown
41229-27096,1B,3,40,45,2A10,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded teeth",75,No,crown
41229-27088,1A,3,40,45,2A10,lizard,,,humerus,1,1L,,100,,
41229-8093,1,3,40,45,2A10,lizard,Crotaphytidae,"Crotaphytus""",maxilla,1,1L,"unicuspid frag, wide teeth, eroded crowns",75,,
41229-27092,1A,3,40,45,2A10,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",25,,crown
41229-27091,1A,3,40,45,2A10,lizard,Teiidae,,maxilla,1,1L,bicuspid,50,,none
41229-27084,1,3,40,45,2A10,lizard,,,pelvis,1,1L,,75,,
41229-5499,1B,3,40,45,2A10,lizard,Phrynosomatidae,"Phrynosoma ""cornutum""",surangular_articular,1,1L,id as squamosal,50,,
41229-27097,1,4,45,50,2A11,lizard,Phrynosomatidae,Phrynosoma,coronoid,1,1L,,100,,
41229-27098,1,4,45,50,2A11,lizard,Phrynosomatidae,Phrynosoma,dentary,1,1L,unicuspid frag,75,,none
41229-27099,1,4,45,50,2A11,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",50,No,crown
41229-27100,1,4,45,50,2A11,lizard,Phrynosomatidae,,dentary,1,1L,"eroded tooth crowns, closed mk",75,No,crown
41229-27101,1,4,45,50,2A11,lizard,Phrynosomatidae,,dentary,1,1L,tricuspid,100,YES,none
41229-27105,1,4,45,50,2A11,lizard,Phrynosomatidae,,dentary,1,1L,eroded tooth shaft and crown,50,No,shaft
41229-27134,1A,4,45,50,2A11,lizard,Phrynosomatidae,Phrynosoma,dentary,1,1L,unicuspid,75,,none
41229-27136,1A,4,45,50,2A11,lizard,Phrynosomatidae,,dentary,1,1L,tricuspid,50,,none
41229-27137,1A,4,45,50,2A11,lizard,Phrynosomatidae,cf. Urosaurus,dentary,1,1L,"weak tricuspid, fused mk",75,,none
41229-27146,1E,4,45,50,2A11,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, closed mk",50,,none
41229-27150,1E,4,45,50,2A12,lizard,Phrynosomatidae,,dentary,1,1L,eroded tooth shaft and crown,75,,shaft
41229-27151,1E,4,45,50,2A12,lizard,Phrynosomatidae,,dentary,1,1L,tricuspid frag,25,,none
41229-27152,1E,4,45,50,2A12,lizard,Phrynosomatidae,,dentary,1,1L,tricuspid frag,25,,none
41229-27153,1E,4,45,50,2A12,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",25,,crown
41229-27106,1,4,45,50,2A11,lizard,,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",25,No,crown
41229-27139,1A,4,45,50,2A11,lizard,,,humerus,1,1L,,50,,
41229-27111,1,4,45,50,2A11,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,100,YES,none
41229-27112,1,4,45,50,2A11,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,100,Maybe,none
41229-27113,1,4,45,50,2A11,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, holes in facial process",25,No,none
41229-27114,1,4,45,50,2A11,lizard,Phrynosomatidae,,maxilla,1,1L,missing crowns,50,No,crown
41229-27142,1A,4,45,50,2A11,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",75,,crown
41229-27143,1A,4,45,50,2A11,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,100,,crown
41229-27161,1E,4,45,50,2A12,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",25,,crown
41229-27162,1E,4,45,50,2A12,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",25,,crown
41229-27141,1A,4,45,50,2A11,lizard,Scincidae,cf. Plestiodon,maxilla,1,1L,"unicuspid, red color, slightly eroded crowns, bifircated posterior pr.",100,,crown
41229-27123,1,4,45,50,2A11,lizard,,,pterygoid,1,1L,distinct sphenoid pr.,75,,
41229-27124,1,4,45,50,2A11,lizard,,,quadrate,1,1L,deep conch,75,,
41229-27125,1,4,45,50,2A11,lizard,,,scapulocorocoid,1,1L,,100,,
41229-27126,1,4,45,50,2A11,lizard,,,scapulocorocoid,1,1L,,50,,
41229-27128,1,4,45,50,2A11,lizard,Anguidae,,splenial,1,1L,,50,,
41229-27175,1B,4,50,55,2A13,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns, part of splenial",75,YES,crown
41229-27170,1,4,50,55,2A13,lizard,Phrynosomatidae,Phrynosoma,frontal,1,1L,,25,,
41229-27178,1B,4,50,55,2A13,lizard,,,humerus,1,1L,,100,,
41229-27179,1B,4,50,55,2A13,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",100,Maybe,crown
41229-27181,1B,4,50,55,2A13,lizard,Scincidae,cf. Plestiodon,pterygoid,1,1L,,50,,
41229-27191,1A,4,55,60,2A14,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229-27197,1B,4,55,60,2A14,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns, closed mk",100,Maybe,crown
41229-627,1A,4,55,60,2A14,lizard,Phrynosomatidae,Phrynosoma,frontal,1,1L,,50,,
41229-27193,1A,4,55,60,2A14,lizard,Phrynosomatidae,Phrynosoma,frontal,1,1L,,75,,
41229-27199,1B,4,55,60,2A14,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",100,,crown
41229-27200,1B,4,55,60,2A14,lizard,,,pelvis,1,1L,,50,,
41229-27205,1E,4,55,60,2A14,lizard,Phrynosomatidae,Phrynosoma,prefrontal,1,1L,,100,,
41229-8195,1,5,60,65,2A15,lizard,Phrynosomatidae,cf. Sceloporus,dentary,1,1L,"id as Crotaphytus, slender tricuspid teeth",100,,none
41229-27233,1C,5,60,65,2A15,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229-27241,1C,5,60,65,2A15,lizard,Crotaphytidae,,maxilla,1,1L,"wide teeth, tricuspid, slightly eroded crowns",50,,crown
41229-27239,1C,5,60,65,2A15,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",100,YES,crown
41229-27240,1C,5,60,65,2A15,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229-27213,1,5,60,65,2A15,lizard,,,pelvis,1,1L,,100,,
41229-27242,1C,5,60,65,2A15,lizard,,,pelvis,1,1L,,50,,
41229-27215,1,5,60,65,2A15,lizard,,,prefrontal,1,1L,,75,,
41229-27244,1C,5,60,65,2A15,lizard,,,scapulocorocoid,1,1L,,100,,
41229-8120,1,5,60,65,2A15,lizard,Phrynosomatidae,Phrynosoma,surangular,1,1L,,50,,
41229-27278,1D,5,65,70,2A16,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, closed mk",50,,none
41229-27267,1C,5,65,70,2A16,lizard,Scincidae,cf. Plestiodon,dentary,1,1L,"unicuspid, striated teeth",75,,none
41229-27273,1C,5,65,70,2A16,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229-1028,1,5,65,70,2A16,lizard,Phrynosomatidae,Phrynosoma,parietal,1,1L,long horn with small middle horn,25,,
41229-27250,1,5,65,70,2A16,lizard,,,pelvis,1,1L,,75,,
41229-27275,1C,5,65,70,2A16,lizard,,,pelvis,1,1L,,50,,
41229-27252,1,5,65,70,2A16,lizard,Teiidae,cf. Aspidoscelis,prefrontal,1,1L,,100,,
41229-10178,1C,5,65,70,2A16,lizard,Phrynosomatidae,Phrynosoma,surangular,1,1L,,75,,
41229-27313,1D,5,70,75,2B1,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229-27288,1,5,70,75,2B2,lizard,,,humerus,1,1L,,100,,
41229-27300,1A,5,70,75,2B2,lizard,,,humerus,1,1L,,100,,
41229-27315,1D,5,70,75,2B1,lizard,,,humerus,1,1L,,50,,
41229-9848,1B,5,70,75,2B2,lizard,Phrynosomatidae,Phrynosoma,jugal?,1,1L,not convinced of id,,,
41229-9917,1D,5,70,75,2B2,lizard,Anguidae,Gerrhonotus,maxilla,1,1L,id as Crotaphytus,75,,none
41229-27303,1A,5,70,75,2B2,lizard,,,pelvis,1,1L,,75,,
41229-27311,1B,5,70,75,2B2,lizard,,,pelvis,1,1L,,50,,
41229-27318,1D,5,70,75,2B1,lizard,,,pelvis,1,1L,,50,,
41229-27319,1D,5,70,75,2B1,lizard,Teiidae,,prefrontal,1,1L,,100,,
41229-27341,1B,6,75,80,2B4,lizard,Phrynosomatidae,Phrynosoma,coronoid,1,1L,,100,,
41229-27322,1,6,75,80,2B4,lizard,Pleurodonta,,coronoid,1,1L,,100,,
41229-27323,1,6,75,80,2B4,lizard,Phrynosomatidae,,dentary,1,1L,tricuspid,25,,none
41229-27342,1B,6,75,80,2B4,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, breccia attached",100,,none
41229-27337,1A,6,75,80,2B4,lizard,,,humerus,1,1L,,75,,
41229-27329,1,6,75,80,2B4,lizard,Phrynosomatidae,,maxilla,1,1L,,50,,none
41229-27354,1D,6,75,80,2B3,lizard,Scincidae,cf. Plestiodon,maxilla,1,1L,,75,,none
41229-27345,1B,6,75,80,2B4,lizard,Teiidae,,maxilla,1,1L,"bicuspid, 1 tricuspid",100,,none
41229-27348,1B,6,75,80,2B4,lizard,Phrynosomatidae,Phrynosoma,postorbital,1,1L,,50,,
41229-27374,1A,6,80,85,2B5,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",75,Maybe,crown
41229-27383,1B,6,80,85,2B5,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, closed mk",100,Yes,none
41229-27384,1B,6,80,85,2B5,lizard,Phrynosomatidae,,dentary,1,1L,"slightly tricuspid, slightly eroded tooth crowns",100,Maybe,crown
41229-27391,1D,6,80,85,2B5,lizard,,,dentary,1,1L,tricuspid,25,,none
41229-27392,1D,6,80,85,2B5,lizard,,,dentary,1,1L,"missing crowns, missing ventral margin, eroded bone",25,,shaft
41229-27362,1,6,80,85,2B5,lizard,,,humerus,1,1L,,100,,
41229-27375,1A,6,80,85,2B5,lizard,,,humerus,1,1L,,100,,
41229-27363,1,6,80,85,2B5,lizard,Phrynosomatidae,,maxilla,1,1L,"slightly tricuspid, slightly eroded tooth crowns",100,Yes,crown
41229-27387,1B,6,80,85,2B5,lizard,Phrynosomatidae,,maxilla,1,1L,slightly tricuspid,25,,none
41229-27402,1D,6,80,85,2B5,lizard,Scincidae,cf. Plestiodon,maxilla,1,1L,chisel teeth,100,,none
41229-27403,1D,6,80,85,2B5,lizard,Scincidae,cf. Plestiodon,maxilla,1,1L,"chisel teeth, eroded crowns",50,,crown
41229-27404,1D,6,80,85,2B5,lizard,Teiidae,,maxilla,1,1L,bicuspid,75,,none
41229-6224,1,6,80,85,2B5,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,parietal,1,1L,long horn,50,,
41229-27366,1,6,80,85,2B5,lizard,,,pelvis,1,1L,,75,,
41229-27367,1,6,80,85,2B5,lizard,,,pelvis,1,1L,,50,,
41229-27407,1D,6,80,85,2B5,lizard,,,pelvis,1,1L,,75,,
41229-27408,1D,6,80,85,2B5,lizard,,,pelvis,1,1L,,100,,
41229-27410,1D,6,80,85,2B5,lizard,,,scapulocorocoid,1,1L,,100,,
41229-27421,1,6,85,90,2B7,lizard,Phrynosomatidae,Phrynosoma,dentary,1,1L,ant. frag,25,,none
41229-27423,1,6,85,90,2B7,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229-27425,1,6,85,90,2B7,lizard,Phrynosomatidae,,dentary,1,1L,slightly tricuspid,25,,none
41229-27426,1,6,85,90,2B7,lizard,Phrynosomatidae,,dentary,1,1L,tricuspid,75,,none
41229-27442,1,6,85,90,2B7,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",0,,crown
41229-27460,1A,6,85,90,2B7,lizard,Phrynosomatidae,Phrynosoma,dentary,1,1L,1 tubercle,100,,none
41229-27470,1D,6,85,90,2B7,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",25,,crown
41229-27422,1,6,85,90,2B7,lizard,Teiidae,,dentary,1,1L,missing crowns,100,,crown
41229-27424,1,6,85,90,2B7,lizard,,,dentary,1,1L,"ant. frag, missing crowns",25,,crown
41229-27431,1,6,85,90,2B7,lizard,,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",0,,crown
41229-27432,1,6,85,90,2B7,lizard,,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns, open mk",25,,crown
41229-27433,1,6,85,90,2B7,lizard,,,femur,1,1L,,75,,
41229-27435,1,6,85,90,2B7,lizard,,,humerus,1,1L,,100,,
41229-27437,1,6,85,90,2B7,lizard,,,humerus,1,1L,,50,,
41229-27452,1,6,85,90,2B7,lizard,Anguidae,cf. Gerrhonotus,maxilla,1,1L,"recurved teeth, lateral sculpting",25,,none
41229-27444,1,6,85,90,2B7,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,25,,none
41229-27447,1,6,85,90,2B7,lizard,Phrynosomatidae,,maxilla,1,1L,tricuspid,25,,none
41229-27448,1,6,85,90,2B7,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229-27449,1,6,85,90,2B7,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",100,Maybe,crown
41229-27450,1,6,85,90,2B7,lizard,Phrynosomatidae,,maxilla,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229-27466,1B,6,85,90,2B7,lizard,Teiidae,,maxilla,1,1L,bicuspid,25,,none
41229-27471,1D,6,85,90,2B7,lizard,Teiidae,,maxilla,1,1L,"bicuspid, eroded tooth crown",25,,crown
41229-27451,1,6,85,90,2B7,lizard,,,maxilla,1,1L,"eroded tooth shaft and crown, eroded bone",75,,shaft
41229-27455,1,6,85,90,2B7,lizard,,,pelvis,1,1L,,50,,
41229-27473,1,7,90,95,2B10,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, splenial frag",75,,none
41229-27474,1,7,90,95,2B10,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",100,Yes,crown
41229-27475,1,7,90,95,2B10,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, broken teeth, slightly eroded crowns",50,,crown
41229-27494,1A,7,90,95,2B10,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",75,,crown
41229-27495,1A,7,90,95,2B10,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",100,,crown
41229-27496,1A,7,90,95,2B10,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, eroded crowns, closed mk",25,,crown
41229-27479,1,7,90,95,2B10,lizard,Scincidae,cf. Plestiodon,dentary,1,1L,"unicuspid, deep gutter",25,,none
